actor,condition,repeat_restore_all_questions,multi_program_all_questions,two_three_edit_harm,scenes
gemma,SOURCE,0.103125,0.06380208333333333,0.0,64
gemma,NATURAL_FINAL_WORLD,0.31875,0.3098958333333333,0.09895833333333331,64
gemma,TEXT_CORRECTION_SEQ,0.3375,0.29817708333333337,0.140625,64
gemma,INVARIANT_SET_s0,0.55,0.45703125,0.09423828125,64
gemma,INVARIANT_SET_s1,0.5343749999999999,0.48567708333333337,0.0478515625,64
gemma,FREE_OVERWRITE_s0,0.5562499999999999,0.51171875,0.06461588541666666,64
gemma,FREE_OVERWRITE_s1,0.36875,0.3177083333333333,0.10042317708333333,64
gemma,CONTINUED_AFFINE_s0,0.13125,0.2799479166666667,0.08349609375,64
gemma,CONTINUED_AFFINE_s1,0.07500000000000001,0.22786458333333331,0.08056640625,64
gemma,FROZEN_V2_CLAUSE_s0,0.115625,0.2565104166666667,0.07779947916666667,64
gemma,FROZEN_V2_CLAUSE_s1,0.05625000000000001,0.11588541666666666,0.12109375,64
gemma,FROZEN_V2_CLAUSE_FP32_s0,0.115625,0.25520833333333337,0.07779947916666667,64
gemma,FROZEN_V2_CLAUSE_FP32_s1,0.053125000000000006,0.11458333333333333,0.12109375,64
gemma,FROZEN_V2_TAIL_s0,0.059375000000000004,0.10546875,0.24690755208333334,64
gemma,FROZEN_V2_TAIL_s1,0.00625,0.08203125,0.1708984375,64
gemma,CANONICAL_V2_s0,0.49062500000000003,0.42838541666666663,0.07779947916666667,64
gemma,CANONICAL_V2_s1,0.3625,0.27083333333333337,0.12109375,64
qwen,SOURCE,0.0625,0.0390625,0.0,32
qwen,NATURAL_FINAL_WORLD,0.11875,0.13541666666666666,0.09147135416666666,32
qwen,TEXT_CORRECTION_SEQ,0.049999999999999996,0.0390625,0.1474609375,32
qwen,INVARIANT_SET_s0,0.25625,0.23177083333333331,0.12467447916666667,32
qwen,INVARIANT_SET_s1,0.26875,0.2734375,0.09602864583333333,32
qwen,FREE_OVERWRITE_s0,0.1625,0.13020833333333334,0.19563802083333331,32
qwen,FREE_OVERWRITE_s1,0.19375,0.1796875,0.1455078125,32
qwen,AFFINE_CLAUSE_s0,0.0625,0.09895833333333331,0.125,32
qwen,CANONICAL_AFFINE_s0,0.18125000000000002,0.15104166666666669,0.125,32
qwen,AFFINE_CLAUSE_s1,0.05625000000000001,0.078125,0.13541666666666666,32
qwen,CANONICAL_AFFINE_s1,0.18125000000000002,0.140625,0.13541666666666666,32
